property_id,id,displayPrice,deedDate,newBuild,tenure,percentageChange
4063418|2|,21126994LR,"£570,000",2023-05-25,False,Freehold,44.0
4063418|2|,44755143LR,"£395,000",2007-12-20,False,Freehold,
1336273|26|,18521170LR,"£675,000",2023-05-25,False,Freehold,170.0
1336273|26|,44771055LR,"£250,000",2005-04-07,False,Freehold,
1093075|90|,20849926LR,"£459,500",2023-05-26,False,Freehold,11.0
1093075|90|,8648494LR,"£415,000",2018-11-30,False,Freehold,28.0
1093075|90|,44776404LR,"£325,000",2013-07-15,False,Freehold,15.0
1093075|90|,44776392LR,"£283,000",2010-03-08,False,Freehold,153.0
1093075|90|,44776359LR,"£112,000",1997-11-14,False,Freehold,
348387|5|FLAT 5,93814539LR,"£398,000",2023-05-26,False,Leasehold,105.0
348387|5|FLAT 5,44782692LR,"£193,750",2004-04-23,False,Leasehold,159.0
348387|5|FLAT 5,44782677LR,"£74,950",1997-09-05,False,Leasehold,
1093046|26|,19432309LR,"£1,900,000",2023-05-26,False,Freehold,
348108|NEWLANDS|1,19432288LR,"£537,500",2023-05-26,False,Leasehold,-9.0
348108|NEWLANDS|1,44763399LR,"£590,000",2016-03-31,False,Leasehold,42.0
348108|NEWLANDS|1,44763375LR,"£415,000",2011-10-06,False,Leasehold,
1093053|30|,93814524LR,"£504,000",2023-05-26,False,Leasehold,6.0
1093053|30|,15865933LR,"£475,000",2022-04-21,False,Leasehold,56.0
1093053|30|,44771835LR,"£305,000",2014-02-28,False,Leasehold,
348108|EVERSLEIGH|2,18521149LR,"£545,000",2023-05-26,False,Leasehold,69.0
348108|EVERSLEIGH|2,44763339LR,"£323,000",2004-09-16,False,Leasehold,75.0
348108|EVERSLEIGH|2,44763312LR,"£185,000",1999-05-04,False,Leasehold,23.0
348108|EVERSLEIGH|2,44763306LR,"£151,000",1998-01-16,False,Leasehold,
348411|10|,18521215LR,"£595,000",2023-05-26,False,Leasehold,
1684755|ALMA COTTAGES|2,93814581LR,"£582,000",2023-05-31,False,Freehold,51.0
1684755|ALMA COTTAGES|2,44789988LR,"£385,000",2011-06-10,False,Freehold,216.0
1684755|ALMA COTTAGES|2,44789982LR,"£122,000",1999-02-01,False,Freehold,
348111|13|,93814512LR,"£1,000,000",2023-05-31,False,Freehold,62.0
348111|13|,44763672LR,"£618,000",2013-07-17,False,Freehold,
348505|2|,93814587LR,"£595,000",2023-05-31,False,Freehold,13.0
348505|2|,56644955LR,"£525,000",2019-04-11,False,Freehold,
1293667|2|,19536964LR,"£340,000",2023-09-12,False,Leasehold,24.0
1293667|2|,89658306LR,"£275,000",2017-02-24,False,Leasehold,41.0
1293667|2|,68803995LR,"£195,000",2011-11-11,False,Leasehold,56.0
1293667|2|,68803992LR,"£125,000",2009-12-23,False,Leasehold,
707796|17|FLAT 5,20696533LR,"£205,000",2023-09-13,False,Leasehold,37.0
707796|17|FLAT 5,68839305LR,"£149,950",2006-11-03,False,Leasehold,9.0
707796|17|FLAT 5,68839293LR,"£137,000",2004-06-25,False,Leasehold,
707631|11|,19537069LR,"£425,000",2023-09-13,False,Freehold,
4110206|10|,19737757LR,"£400,000",2023-09-14,False,Freehold,60.0
4110206|10|,68797308LR,"£249,995",2010-06-21,True,Freehold,
4320178|5|,22081441LR,"£690,000",2023-09-15,True,Freehold,
1205108|4|,19537117LR,"£370,000",2023-09-15,False,Freehold,
707754|63|,19976110LR,"£500,000",2023-09-15,False,Freehold,25.0
707754|63|,12744457LR,"£400,000",2021-01-21,False,Freehold,33.0
707754|63|,68832120LR,"£300,000",2015-09-28,False,Freehold,97.0
707754|63|,68832087LR,"£152,000",2001-07-27,False,Freehold,103.0
707754|63|,68832075LR,"£75,000",1998-03-13,False,Freehold,
1205086|11|,19537102LR,"£562,500",2023-09-15,False,Freehold,101.0
1205086|11|,68836623LR,"£280,000",2013-05-14,False,Freehold,50.0
1205086|11|,68836560LR,"£187,000",2004-02-17,False,Freehold,
1204978|31|,19537021LR,"£380,000",2023-09-15,False,Freehold,
707758|43|,19537090LR,"£1,275,000",2023-09-15,False,Freehold,56.0
707758|43|,68832873LR,"£815,000",2016-02-17,False,Freehold,
"707196|LEWIS COURT, 65|FLAT 5",19077262LR,"£225,000",2023-09-15,False,Leasehold,-10.0
"707196|LEWIS COURT, 65|FLAT 5",68786931LR,"£248,950",2010-09-01,False,Leasehold,
1573886|62|,19077421LR,"£333,500",2023-09-15,False,Freehold,121.0
1573886|62|,68834154LR,"£151,000",2002-11-29,False,Freehold,
1204959|46|,19537000LR,"£300,350",2023-09-18,False,Leasehold,62.0
1204959|46|,68807481LR,"£185,000",2011-11-11,False,Leasehold,19.0
1204959|46|,68807397LR,"£155,000",2003-04-17,False,Leasehold,67.0
1204959|46|,68807355LR,"£93,000",1999-11-09,False,Leasehold,
1205033|102|,19280644LR,"£460,000",2023-09-18,False,Freehold,125.0
1205033|102|,68821488LR,"£204,000",2012-11-30,False,Freehold,
